season,teamId,Team,Attendance,Attn_avg,TV_revenue,RANK,ROSTER,26-MAN PAYROLL,INJURED RESERVE,RETAINED,BURIED,SUSPENDED,2021 TOTAL PAYROLL
2019,116,Detroit Tigers,"1,501,430","18,536",55,20,32,"$72,709,746 ","$14,738,806 ","$26,148,511 ","$3,361,600 ",-,"$114,631,137 "
2019,117,Houston Astros,"2,857,367","35,276",60,8,34,"$155,036,881 ","$11,713,065 ","$1,777,467 ","$1,110,000 ",-,"$168,804,925 "
2019,118,Kansas City Royals,"1,479,659","18,267",22,23,35,"$68,625,332 ","$11,895,598 ","$23,207,385 ","$1,910,000 ",-,"$104,773,003 "
2019,119,Los Angeles Dodgers,"3,974,309","49,066",204,4,35,"$157,394,622 ","$1,341,835 ","$41,972,880 ","$7,775,000 ",-,"$207,000,814 "
2019,120,Washington Nationals,"2,259,781","27,899",46,7,39,"$155,857,858 ","$1,369,684 ","$14,062,625 ","$2,929,600 ",-,"$172,307,808 "
2019,121,New York Mets,"2,442,532","30,155",46,13,39,"$104,490,573 ","$16,519,542 ","$25,220,967 ","$3,670,000 ",-,"$146,835,812 "
2019,133,Oakland Athletics,"1,670,734","20,626",41,25,35,"$78,259,128 ","$622,664 ","$13,870,505 ","$2,785,000 ",-,"$93,394,531 "
2019,134,Pittsburgh Pirates,"1,491,439","18,413",25,29,40,"$28,229,108 ","$19,571,272 ","$20,053,143 ","$1,255,000 ",-,"$72,731,474 "
2019,135,San Diego Padres,"2,396,399","29,585",39,24,39,"$66,001,794 ","$10,746,013 ","$25,368,956 ","$2,460,400 ",-,"$104,254,790 "
2019,136,Seattle Mariners,"1,791,109","22,112",76,14,36,"$84,703,863 ","$5,638,913 ","$51,233,076 ","$5,012,500 ","$1,800,000 ","$144,391,293 "
2019,137,San Francisco Giants,"2,707,760","33,429",54,5,40,"$137,019,224 ","$9,768,564 ","$31,241,902 ","$2,752,500 ",-,"$178,582,126 "
2019,138,St. Louis Cardinals,"3,480,393","42,968",33,6,38,"$135,823,456 ","$21,794,083 ","$16,427,751 ","$1,455,000 ",-,"$174,317,164 "
2019,139,Tampa Bay Rays,"1,178,735","14,552",20,30,39,"$54,345,374 ","$644,520 ","$9,084,388 ","$1,665,000 ",-,"$64,178,722 "
2019,140,Texas Rangers,"2,132,994","26,333",56,12,34,"$85,904,339 ","$26,592,526 ","$31,252,401 ","$8,840,000 ",-,"$148,538,766 "
2019,141,Toronto Blue Jays,"1,750,144","21,607",53,21,36,"$36,637,976 ","$8,512,071 ","$65,351,162 ","$3,233,800 ",-,"$111,371,067 "
2019,142,Minnesota Twins,"2,303,299","28,436",37,18,37,"$96,059,595 ","$1,773,872 ","$19,156,231 ","$1,670,000 ","$8,000,000 ","$125,256,003 "
2019,143,Philadelphia Phillies,"2,727,421","33,672",60,10,37,"$82,703,582 ","$67,270,903 ","$3,500,513 ","$2,640,000 ",-,"$159,637,244 "
2019,144,Atlanta Braves,"2,654,920","32,777",35,15,36,"$117,758,736 ","$8,328,689 ","$17,791,906 ","$1,665,000 ",-,"$143,947,963 "
2019,145,Chicago White Sox,"1,649,775","20,622",51,26,30,"$67,330,431 ","$10,267,750 ","$13,080,697 ","$4,441,000 ",-,"$91,371,201 "
2019,146,Miami Marlins,"811,302","10,016",20,27,32,"$66,602,760 ","$3,001,903 ","$4,968,020 ","$4,690,000 ",-,"$75,596,271 "
2019,147,New York Yankees,"3,304,404","40,795",98,2,36,"$171,935,047 ","$42,325,463 ","$7,772,219 ","$2,220,000 ",-,"$223,019,037 "
2019,158,Milwaukee Brewers,"2,923,333","36,091",24,16,38,"$107,189,797 ","$8,283,400 ","$20,248,718 ","$1,110,000 ",-,"$135,889,019 "
2020,108,Los Angeles Angels,na,na,138,13,28,"$56,525,010 ","$509,650 ","$3,356,290 ","$6,884,500 ",-,"$66,040,893 "
2020,109,Arizona Diamondbacks,na,na,58,14,28,"$20,283,697 ","$1,589,593 ","$40,016,446 ","$4,524,600 ","$563,500 ","$65,598,752 "
2020,110,Baltimore Orioles,na,na,54,30,28,"$10,252,278 ","$11,102,531 ","$1,264,595 ","$3,402,900 ",-,"$23,478,635 "
2020,111,Boston Red Sox,na,na,104,4,29,"$36,071,047 ","$16,644,224 ","$15,553,004 ","$19,962,928 ",-,"$84,210,390 "
2020,112,Chicago Cubs,na,na,100,3,28,"$66,116,504 ","$6,448,626 ","$12,464,463 ","$11,069,500 ",-,"$86,596,171 "
2020,113,Cincinnati Reds,na,na,48,18,28,"$51,957,121 ","$658,696 ","$1,922,138 ","$6,117,500 ",-,"$55,638,685 "
2020,114,Cleveland Indians,na,na,47,24,28,"$34,471,070 ","$209,630 ","$3,269,241 ","$4,642,500 ","$564,800 ","$39,299,107 "
2020,115,Colorado Rockies,na,na,42,12,28,"$23,940,328 ","$17,205,744 ","$30,851,852 ","$4,017,500 ",-,"$67,808,533 "
2020,116,Detroit Tigers,na,na,64,22,28,"$29,636,694 ","$6,108,631 ","$6,488,226 ","$5,099,700 ",-,"$43,164,880 "
2020,117,Houston Astros,na,na,70,5,28,"$61,049,512 ","$18,763,334 ","$250,000 ","$6,075,200 ",-,"$82,536,161 "
2020,118,Kansas City Royals,na,na,44,26,28,"$25,320,148 ","$7,093,210 ","$1,464,114 ","$6,818,450 ",-,"$34,812,194 "
2020,119,Los Angeles Dodgers,na,na,239,2,28,"$77,165,961 ","$493,889 ","$17,417,530 ","$11,339,500 ",-,"$108,417,397 "
2020,120,Washington Nationals,na,na,77,7,28,"$45,664,863 ","$20,500,582 ","$7,137,096 ","$2,563,500 ",-,"$75,067,703 "
2020,121,New York Mets,na,na,54,6,28,"$46,360,406 ","$15,399,881 ","$18,418,790 ","$4,947,000 ",-,"$81,945,598 "
2020,133,Oakland Athletics,na,na,48,25,28,"$35,283,875 ","$902,038 ","$113,148 ","$3,957,000 ",-,"$36,720,178 "
2020,134,Pittsburgh Pirates,na,na,44,29,28,"$12,738,842 ","$8,462,127 ","$2,437,508 ","$2,817,500 ","$5,750,000 ","$25,337,837 "
2020,135,San Diego Padres,na,na,46,11,28,"$54,293,958 ","$3,531,020 ","$14,471,215 ","$6,086,600 ",-,"$73,097,954 "
2020,136,Seattle Mariners,na,na,89,21,28,"$24,865,136 ","$3,268,960 ","$30,708,712 ","$5,731,000 ",-,"$50,433,829 "
2020,137,San Francisco Giants,na,na,63,9,28,"$40,562,214 ","$1,428,006 ","$13,996,618 ","$22,631,250 ",-,"$73,408,817 "
2020,138,St. Louis Cardinals,na,na,65,10,28,"$51,757,860 ","$12,343,763 ","$12,000,000 ","$7,340,100 ",-,"$73,246,343 "
